=== OP PROFILE: static / PREFILL ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.98%       5.430ms         2.68%      14.814ms       9.644us       2.647ms         1.23%       2.648ms       1.724us           0 b           0 b           0 b           0 b          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.647ms         1.23%       2.647ms       1.723us           0 b           0 b           0 b           0 b          1536  
                                              aten::pow         1.83%      10.101ms         2.85%      15.720ms      15.116us       2.640ms         1.22%       2.640ms       2.538us           0 b           0 b      16.25 Mb      16.25 Mb          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.640ms         1.22%       2.640ms       2.538us           0 b           0 b           0 b           0 b          1040  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us       2.548ms         1.18%       2.548ms     159.255us           0 b           0 b           0 b           0 b            16  
                                            aten::where         1.25%       6.879ms         5.23%      28.907ms      28.229us       2.287ms         1.06%       5.429ms       5.302us           0 b           0 b       1.51 Mb    -248.00 Kb          1024  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.287ms         1.06%       2.287ms       4.468us           0 b           0 b           0 b           0 b           512  
                                            aten::rsqrt         1.08%       5.961ms         1.85%      10.246ms       9.852us       2.111ms         0.98%       2.111ms       2.030us           0 b           0 b     520.00 Kb     520.00 Kb          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.111ms         0.98%       2.111ms       2.030us           0 b           0 b           0 b           0 b          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.084ms         0.97%       2.084ms       2.004us           0 b           0 b           0 b           0 b          1040  
                                             aten::silu         0.88%       4.888ms         1.39%       7.679ms      14.997us       2.059ms         0.95%       2.059ms       4.021us           0 b           0 b      10.75 Mb      10.75 Mb           512  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.059ms         0.95%       2.059ms       4.021us           0 b           0 b           0 b           0 b           512  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.388ms         0.64%       1.388ms       2.711us           0 b           0 b           0 b           0 b           512  
                                           aten::argmax         0.04%     213.462us         0.06%     345.097us      21.569us     297.152us         0.14%     297.152us      18.572us           0 b           0 b       8.00 Kb       8.00 Kb            16  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     297.152us         0.14%     297.152us      18.572us           0 b           0 b           0 b           0 b            16  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     125.696us         0.06%     125.696us       7.856us           0 b           0 b           0 b           0 b            16  
                                           aten::arange         0.05%     253.152us         0.23%       1.297ms      13.511us      89.344us         0.04%     178.688us       1.861us           0 b           0 b     176.00 Kb           0 b            96  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      89.344us         0.04%      89.344us       1.861us           0 b           0 b           0 b           0 b            48  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 552.477ms
Self CUDA time total: 215.621ms

=== OP PROFILE: static / DECODE / CPU ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         2.34%      12.949ms        41.01%     226.593ms      31.541us       0.000us         0.00%     123.233ms      17.154us           0 b           0 b      50.98 Mb           0 b          7184  
                                           aten::matmul         4.84%      26.765ms        34.24%     189.181ms      26.275us       0.000us         0.00%     123.269ms      17.121us           0 b           0 b      50.98 Mb           0 b          7200  
                                               aten::mm        18.40%     101.678ms        27.10%     149.739ms      20.843us     123.218ms        57.15%     123.233ms      17.154us           0 b           0 b      50.98 Mb      50.98 Mb          7184  
                                       cudaLaunchKernel        25.48%     140.764ms        25.79%     142.478ms       5.368us       0.000us         0.00%       1.600us       0.000us           0 b           0 b           0 b           0 b         26544  
                     aten::scaled_dot_product_attention         1.35%       7.445ms        13.87%      76.605ms     149.620us       0.000us         0.00%      30.016ms      58.625us           0 b      -8.00 Kb       4.01 Mb      -1.73 Mb           512  
                                              aten::mul         6.22%      34.369ms        10.01%      55.323ms      11.841us      17.607ms         8.17%      17.607ms       3.769us           0 b           0 b      51.14 Mb      51.14 Mb          4672  
